value,country_code,year,month,feature_id
205.9,ITA,2020,3,7
0.3,JAM,2020,3,7
0.5,JOR,2020,3,7
0.5,JPN,2020,3,7
0.1,KAZ,2020,3,7
0.0,KEN,2020,3,7
,KGZ,2020,3,7
,KHM,2020,3,7
,KNA,2020,3,7
3.2,KOR,2020,3,7
,KWT,2020,3,7
,LAO,2020,3,7
1.8,LBN,2020,3,7
,LBR,2020,3,7
,LBY,2020,3,7
,LCA,2020,3,7
,LIE,2020,3,7
0.1,LKA,2020,3,7
1.5,LTU,2020,3,7
36.2,LUX,2020,3,7
,LVA,2020,3,7
1.0,MAR,2020,3,7
25.3,MCO,2020,3,7
1.0,MDA,2020,3,7
,MDG,2020,3,7
,MDV,2020,3,7
0.2,MEX,2020,3,7
4.3,MKD,2020,3,7
0.1,MLI,2020,3,7
,MLT,2020,3,7
0.0,MMR,2020,3,7
3.2,MNE,2020,3,7
,MNG,2020,3,7
,MOZ,2020,3,7
0.2,MRT,2020,3,7
3.9,MUS,2020,3,7
,MWI,2020,3,7
1.5,MYS,2020,3,7
,NAM,2020,3,7
0.1,NER,2020,3,7
0.0,NGA,2020,3,7
0.1,NIC,2020,3,7
60.6,NLD,2020,3,7
7.1,NOR,2020,3,7
,NPL,2020,3,7
0.2,NZL,2020,3,7
0.2,OMN,2020,3,7
0.1,OWID_AFR,2020,3,7
1.5,OWID_ASI,2020,3,7
62.7,OWID_EUN,2020,3,7
41.6,OWID_EUR,2020,3,7
,OWID_INT,2020,3,7
0.6,OWID_KOS,2020,3,7
9.5,OWID_NAM,2020,3,7
0.4,OWID_OCE,2020,3,7
1.1,OWID_SAM,2020,3,7
5.7,OWID_WRL,2020,3,7
0.1,PAK,2020,3,7
6.8,PAN,2020,3,7
4.1,PER,2020,3,7
0.8,PHL,2020,3,7
,PNG,2020,3,7
0.9,POL,2020,3,7
15.7,PRT,2020,3,7
0.4,PRY,2020,3,7
0.2,PSE,2020,3,7
0.7,QAT,2020,3,7
4.3,ROU,2020,3,7
0.1,RUS,2020,3,7
,RWA,2020,3,7
0.3,SAU,2020,3,7
0.0,SDN,2020,3,7
,SEN,2020,3,7
0.5,SGP,2020,3,7
,SLE,2020,3,7
0.2,SLV,2020,3,7
764.5,SMR,2020,3,7
,SOM,2020,3,7
2.3,SRB,2020,3,7
,SUR,2020,3,7
,SVK,2020,3,7
7.2,SVN,2020,3,7
37.9,SWE,2020,3,7
,SWZ,2020,3,7
,SYC,2020,3,7
0.1,SYR,2020,3,7
,TCD,2020,3,7
0.1,TGO,2020,3,7
0.1,THA,2020,3,7
,TLS,2020,3,7
2.1,TTO,2020,3,7
0.8,TUN,2020,3,7
2.5,TUR,2020,3,7
0.2,TWN,2020,3,7
0.0,TZA,2020,3,7
