Value,Country or Area,Code3,Item,Year
31.87,Honduras,HND,people_vaccinated_per_hundred,2021
59.48,Hong Kong,HKG,people_vaccinated_per_hundred,2021
61.15,Hungary,HUN,people_vaccinated_per_hundred,2021
82.05,Iceland,ISL,people_vaccinated_per_hundred,2021
46.57,India,IND,people_vaccinated_per_hundred,2021
32.96,Indonesia,IDN,people_vaccinated_per_hundred,2021
42.7,Iran,IRN,people_vaccinated_per_hundred,2021
11.36,Iraq,IRQ,people_vaccinated_per_hundred,2021
75.67,Ireland,IRL,people_vaccinated_per_hundred,2021
76.64,Isle of Man,IMN,people_vaccinated_per_hundred,2021
69.63,Israel,ISR,people_vaccinated_per_hundred,2021
74.89,Italy,ITA,people_vaccinated_per_hundred,2021
17.79,Jamaica,JAM,people_vaccinated_per_hundred,2021
70.73,Japan,JPN,people_vaccinated_per_hundred,2021
76.35,Jersey,JEY,people_vaccinated_per_hundred,2021
36.16,Jordan,JOR,people_vaccinated_per_hundred,2021
40.13,Kazakhstan,KAZ,people_vaccinated_per_hundred,2021
5.12,Kenya,KEN,people_vaccinated_per_hundred,2021
24.24,Kiribati,KIR,people_vaccinated_per_hundred,2021
41.02,Kosovo,OWID_KOS,people_vaccinated_per_hundred,2021
61.64,Kuwait,KWT,people_vaccinated_per_hundred,2021
12.55,Kyrgyzstan,KGZ,people_vaccinated_per_hundred,2021
37.94,Laos,LAO,people_vaccinated_per_hundred,2021
49.46,Latvia,LVA,people_vaccinated_per_hundred,2021
23.78,Lebanon,LBN,people_vaccinated_per_hundred,2021
11.54,Lesotho,LSO,people_vaccinated_per_hundred,2021
2.02,Liberia,LBR,people_vaccinated_per_hundred,2021
19.86,Libya,LBY,people_vaccinated_per_hundred,2021
64.09,Liechtenstein,LIE,people_vaccinated_per_hundred,2021
64.99,Lithuania,LTU,people_vaccinated_per_hundred,2021
65.84,Luxembourg,LUX,people_vaccinated_per_hundred,2021
55.25,Macao,MAC,people_vaccinated_per_hundred,2021
0.69,Madagascar,MDG,people_vaccinated_per_hundred,2021
4.1,Malawi,MWI,people_vaccinated_per_hundred,2021
