country_code,1,2,3,4,5,6,7,101,102,103
SLB,1.0,1.0,3.0,0.0,4.0,3.0,1.0,3.0,1.0,2.0
SLE,1.0,1.0,0.0,5.0,0.0,1.0,1.0,0.0,5.0,2.0
SLV,1.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,1.0,0.0
SSD,1.0,0.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0
STP,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0
SWZ,1.0,1.0,7.0,0.0,2.0,3.0,4.0,0.0,5.0,7.0
TCD,1.0,1.0,3.0,4.0,0.0,1.0,1.0,3.0,5.0,2.0
TGO,1.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,2.0
TJK,1.0,0.0,5.0,1.0,0.0,2.0,1.0,5.0,1.0,6.0
TLS,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0
TON,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0
TUN,1.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0
TUV,1.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,0.0
TZA,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0
UGA,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0
UKR,1.0,4.0,0.0,0.0,6.0,3.0,5.0,0.0,4.0,0.0
UZB,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,8.0
VNM,1.0,0.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0
VUT,1.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,5.0,6.0
WSM,1.0,1.0,0.0,0.0,1.0,6.0,1.0,0.0,7.0,6.0
YEM,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
ZMB,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0
ZWE,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,1.0,6.0
ARG,2.0,2.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0
ASM,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
ATG,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0
BRB,2.0,1.0,4.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0
CHL,2.0,2.0,0.0,0.0,0.0,7.0,6.0,4.0,0.0,0.0
CRI,2.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,7.0
ERI,2.0,0.0,2.0,0.0,7.0,1.0,1.0,3.0,4.0,2.0
GNQ,2.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,0.0,6.0
HRV,2.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0
HUN,2.0,0.0,5.0,3.0,3.0,0.0,7.0,5.0,0.0,0.0
KNA,2.0,1.0,0.0,0.0,7.0,0.0,2.0,0.0,3.0,6.0
LTU,2.0,2.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0
LVA,2.0,2.0,0.0,0.0,0.0,5.0,5.0,4.0,0.0,0.0
MNP,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0
PAN,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
PLW,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0
POL,2.0,0.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
RUS,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0
SVK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
SYC,2.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,3.0,0.0
TTO,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,0.0
URY,2.0,2.0,0.0,4.0,0.0,0.0,5.0,4.0,0.0,0.0
VEN,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0
AUT,3.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,4.0,3.0
BEL,3.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,4.0,0.0
CAN,3.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,4.0,4.0
DEU,3.0,5.0,0.0,0.0,1.0,4.0,3.0,6.0,2.0,3.0
FIN,3.0,2.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,4.0
FRA,3.0,5.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,3.0
GBR,3.0,5.0,0.0,3.0,3.0,7.0,0.0,2.0,0.0,0.0
HKG,3.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0
ISR,3.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,5.0
NLD,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0
NZL,3.0,2.0,0.0,0.0,0.0,6.0,1.0,4.0,,2.0
ABW,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0
SXM,4.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,,
VIR,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
LUX,4.0,1.0,2.0,0.0,0.0,4.0,0.0,6.0,3.0,3.0
MCO,4.0,1.0,0.0,0.0,0.0,4.0,3.0,6.0,3.0,3.0
QAT,4.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0
BMU,4.0,1.0,0.0,0.0,0.0,7.0,0.0,6.0,3.0,0.0
LIE,4.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,3.0
AZE,0.0,1.0,2.0,0.0,0.0,6.0,0.0,1.0,6.0,0.0
BIH,0.0,1.0,7.0,3.0,1.0,2.0,7.0,1.0,3.0,0.0
BRN,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,7.0,0.0
CUW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0
CYM,0.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,0.0,
DMA,0.0,1.0,0.0,0.0,3.0,0.0,2.0,2.0,3.0,0.0
